city,state_id,state_name,lat,lng,zips
Plymouth,MN,Minnesota,45.0225,-93.4617,55442 55441 55447 55446
Anniston,AL,Alabama,33.6712,-85.8135,36201 36206 36207 36205 36204
Texarkana,TX,Texas,33.4500,-94.0847,75501 75503 75599
Tustin,CA,California,33.7311,-117.8107,92780 92782 92623 92781
Pharr,TX,Texas,26.1685,-98.1904,78577
Port Huron,MI,Michigan,42.9821,-82.4388,48060 48061
Turlock,CA,California,37.5053,-120.8588,95380 95382 95381
Rancho Cordova,CA,California,38.5737,-121.2527,95742 95670 95827 95741
The Villages,FL,Florida,28.9034,-81.9887,32163 32162 32159
Milpitas,CA,California,37.4336,-121.8921,95035
Perris,CA,California,33.7898,-117.2233,92570 92571 92572 92599
Upland,CA,California,34.1178,-117.6604,91784 91786 91785
Alton,IL,Illinois,38.9037,-90.1520,62018 62002
Pleasanton,CA,California,37.6663,-121.8805,94566 94588
Kendall,FL,Florida,25.6697,-80.3556,33173 33176 33156 33116 33256 33283 33296
Jonesboro,AR,Arkansas,35.8212,-90.6791,72467 72401 72404 72405 72402 72403
Bellflower,CA,California,33.8880,-118.1271,90706 90707
